'D(1), d
APPLES, ˈæ p ə l z
APPLIANCE, ə p l ˈaɪ ə n s
APPLIANCES, ə p l ˈaɪ ə n s ɪ z
APPLICABLE(1), ˈæ p l ɪ k ə b ə l
APPLICABLE(2), ə p l ˈɪ k ə b ə l
APPLICANT, ˈæ p l ɪ k ə n t
APPLICANTS, ˈæ p l ɪ k ə n t s
APPLICATION, ˌæ p l ɪ k ˈeɪ ʃ ə n
APPLICATIONS, ˌæ p l ɪ k ˈeɪ ʃ ə n z
APPLIED, ə p l ˈaɪ d
APPLIES, ə p l ˈaɪ z
APPLY, ə p l ˈaɪ
APPLYING, ə p l ˈaɪ ɪ ŋ
APPOINT, ə p ˈɔɪ n t
APPOINTED, ə p ˈɔɪ n t ɪ d
APPOINTMENT, ə p ˈɔɪ n t m ə n t
APPOINTMENTS, ə p ˈɔɪ n t m ə n t s
APPRAISAL, ə p ɹ ˈeɪ z ə l
APPRECIATE, ə p ɹ ˈiː ʃ ɪ ˌeɪ t
APPRECIATED, ə p ɹ ˈiː ʃ ɪ ˌeɪ t ɪ d
APPRECIATION, ə p ɹ ˌiː ʃ ɪ ˈeɪ ʃ ə n
APPROACH, ə p ɹ ˈəʊ tʃ
APPROACHED, ə p ɹ ˈəʊ tʃ t
APPROACHES, ə p ɹ ˈəʊ tʃ ɪ z
APPROACHING, ə p ɹ ˈəʊ tʃ ɪ ŋ
APPROPRIATE(1), ə p ɹ ˈəʊ p ɹ ɪə t
APPROPRIATE(2), ə p ɹ ˈəʊ p ɹ ɪ ˌeɪ t
APPROPRIATELY, ə p ɹ ˈəʊ p ɹ ɪə t l iː
APPROPRIATIONS, ə p ɹ ˌəʊ p ɹ ɪ ˈeɪ ʃ ə n z
APPROVAL, ə p ɹ ˈuː v ə l
APPROVE, ə p ɹ ˈuː v
APPROVED, ə p ɹ ˈuː v d
APPROXIMATE(1), ə p ɹ ˈɒ k s ɪ m ˌeɪ t
APPROXIMATE(2), ə p ɹ ˈɒ k s ɪ m ə t
APPROXIMATELY, ə p ɹ ˈɒ k s ɪ m ə t l iː
APPS, ˈæ p s
APRIL, ˈeɪ p ɹ ə l
APT, ˈæ p t
AQUA, ˈæ k w ə
AQUARIUM, ə k w ˈɛə ɹ ɪə m
AQUATIC(1), ə k w ˈæ t ɪ k
AQUATIC(2), ə k w ˈɒ t ɪ k
AR, ˈɑː
ARAB, ˈæ ɹ ə b
ARABIA, ə ɹ ˈeɪ b ɪə
ARABIC, ˈæ ɹ ə b ɪ k
ARBITRARY, ˈɑː b ɪ t ɹ ə ɹ iː
ARBITRATION, ˌɑː b ɪ t ɹ ˈeɪ ʃ ə n
ARBOR, ˈɑː b ə
ARC, ˈɑː k
ARCADE, ɑː k ˈeɪ d
ARCH, ˈɑː tʃ
ARCHAEOLOGICAL, ˌɑː k ɪə l ˈɒ dʒ ɪ k ə l
ARCHBISHOP(1), ɑː tʃ b ˈɪ ʃ ə p
ARCHBISHOP(2), ˈɑː tʃ b ɪ ʃ ə p
ARCHITECT, ˈɑː k ɪ t ˌɛ k t
ARCHITECTS, ˈɑː ɹ k ɪ t ˌɛ k t s
ARCHITECTURAL, ˌɑː k ɪ t ˈɛ k tʃ ə ɹ ə l
ARCHITECTURE, ˈɑː k ɪ t ˌɛ k tʃ ə
ARCHIVE, ˈɑː k ˌaɪ v
ARCHIVED, ˈɑː k ˌaɪ v d
ARCHIVES, ˈɑː k ˌaɪ v z
ARCTIC, ˈɑː k t ɪ k
ARE(1), ə
ARE(2), ˈɑː
AREA, ˈɛə ɹ ɪə
AREAS, ˈɛə ɹ ɪə z
AREN'T, ˈɑː n t
ARENA, ə ɹ ˈiː n ə
ARGENTINA, ˌɑː dʒ ə n t ˈiː n ə
ARGUE, ˈɑː g j uː
ARGUED, ˈɑː g j uː d
ARGUES, ˈɑː g j uː z
ARGUING, ˈɑː g j uː ɪ ŋ
ARGUMENT, ˈɑː g j ʊ m ə n t
ARGUMENTS, ˈɑː g j ʊ m ə n t s
ARGYLL, ɑː g ˈaɪ l
ARISE, ə ɹ ˈaɪ z
ARISES, ə ɹ ˈaɪ z ɪ z
ARISING, ə ɹ ˈaɪ z ɪ ŋ
ARIZONA, ˌæ ɹ ɪ z ˈəʊ n ə
ARKANSAS, ˈɑː k ə n s ˌɔː
ARLINGTON, ˈɑː l ɪ ŋ t ə n
ARM, ˈɑː m
ARMED, ˈɑː m d
ARMENIA, ɑː m ˈiː n ɪə
ARMIES, ˈɑː m iː z
ARMOR, ˈɑː m ə
ARMS, ˈɑː m z
ARMSTRONG, ˈɑː m s t ɹ ˌɒ ŋ
ARMY, ˈɑː m iː
ARNOLD, ˈɑː n ə l d
AROSE, ə ɹ ˈəʊ z
AROUND, ə ɹ ˈaʊ n d
ARRANGE, ə ɹ ˈeɪ n dʒ
ARRANGED, ə ɹ ˈeɪ n dʒ d
ARRANGEMENT, ə ɹ ˈeɪ n dʒ m ə n t
ARRANGEMENTS, ə ɹ ˈeɪ n dʒ m ə n t s
ARRAY, ə ɹ ˈeɪ
ARREST, ə ɹ ˈɛ s t
ARRESTED, ə ɹ ˈɛ s t ɪ d
ARRIVAL, ə ɹ ˈaɪ v ə l
ARRIVALS, ə ɹ ˈaɪ v ə l z
ARRIVE, ə ɹ ˈaɪ v
ARRIVED, ə ɹ ˈaɪ v d
ARRIVES, ə ɹ ˈaɪ v z
ARRIVING, ə ɹ ˈaɪ v ɪ ŋ
ARROW, ˈæ ɹ əʊ
ARS, ˈɑː z
ARSE, ˈɑː s
ARSEHOLE, ˈɑː s h ˌəʊ l
ARSENAL, ˈɑː s ə n ə l
ART, ˈɑː t
ARTHRITIS, ɑː θ ɹ ˈaɪ t ɪ s
ARTHUR, ˈɑː θ ə
ARTICLE, ˈɑː t ɪ k ə l
ARTICLES, ˈɑː t ɪ k ə l z
ARTIFICIAL, ˌɑː t ɪ f ˈɪ ʃ ə l
ARTIST, ˈɑː t ɪ s t
ARTISTIC, ˌɑː t ˈɪ s t ɪ k
ARTISTS, ˈɑː t ɪ s t s
ARTS, ˈɑː t s
ARTWORK, ˈɑː t w ˌɜː k
ARUBA, ə ɹ ˈuː b ə
AS, ˈæ z
ASBESTOS(1), æ s b ˈɛ s t ɒ s
ASBESTOS(2), æ s b ˈɛ s t ə s
ASCII, ˈæ s k iː
ASDA, ˈæ s d ə
ASH, ˈæ ʃ
ASHAMED, ə ʃ ˈeɪ m d
ASHES, ˈæ ʃ ɪ z
ASHLEY, ˈæ ʃ l iː
ASHTRAY, ˈæ ʃ t ɹ ˌeɪ
ASIA(1), ˈeɪ ʃ ə
ASIA(2), ˈeɪ ʒ ə
ASIAN(1), ˈeɪ ʃ ə n
ASIAN(2), ˈeɪ ʒ ə n
ASIDE, ə s ˈaɪ d
ASK, ˈɑː s k
ASKED, ˈɑː s k t
ASKING, ˈɑː s k ɪ ŋ
ASKS, ˈɑː s k s
ASLEEP, ə s l ˈiː p
ASPECT, ˈæ s p ˌɛ k t
ASPECTS, ˈæ s p ˌɛ k t s
ASPIRATIONS, ˌæ s p ɪ ɹ ˈeɪ ʃ ə n z
ASS, ˈɑː s
ASSAULT, ə s ˈɔː l t
ASSEMBLED, ə s ˈɛ m b ə l d
ASSEMBLY, ə s ˈɛ m b l iː
ASSERTION, ə s ˈɜː ʃ ə n
ASSES, ˈɑː s ɪ z
ASSESS, ə s ˈɛ s
ASSESSED, ə s ˈɛ s t
ASSESSING, ə s ˈɛ s ɪ ŋ
ASSESSMENT, ə s ˈɛ s m ə n t
ASSESSMENTS, ə s ˈɛ s m ə n t s
ASSET, ˈæ s ˌɛ t
ASSETS, ˈæ s ˌɛ t s
ASSHOLE, ˈɑː s h əʊ l
ASSHOLES, ˈɑː s h əʊ l z
ASSIGN, ə s ˈaɪ n
ASSIGNED, ə s ˈaɪ n d
ASSIGNMENT, ə s ˈaɪ n m ə n t
ASSIGNMENTS, ə s ˈaɪ n m ə n t s
ASSIST, ə s ˈɪ s t
ASSISTANCE, ə s ˈɪ s t ə n s
ASSISTANT, ə s ˈɪ s t ə n t
ASSISTED, ə s ˈɪ s t ɪ d
ASSISTS, ə s ˈɪ s t s
ASSOCIATE(1), ə s ˈəʊ ʃ ɪ ˌeɪ t
ASSOCIATE(2), ə s ˈəʊ s ɪ ˌeɪ t
ASSOCIATE(3), ə s ˈəʊ ʃ ɪə t
ASSOCIATE(4), ə s ˈəʊ s ɪə t
ASSOCIATED(1), ə s ˈəʊ s ɪ ˌeɪ t ɪ d
ASSOCIATED(2), ə s ˈəʊ ʃ ɪ ˌeɪ t ɪ d
ASSOCIATES(1), ə s ˈəʊ ʃ ɪ ˌeɪ t s
ASSOCIATES(2), ə s ˈəʊ s ɪ ˌeɪ t s
ASSOCIATES(3), ə s ˈəʊ ʃ ɪə t s
ASSOCIATES(4), ə s ˈəʊ s ɪə t s
ASSOCIATION(1), ə s ˌəʊ s ɪ ˈeɪ ʃ ə n
ASSOCIATION(2), ə s ˌəʊ ʃ ɪ ˈeɪ ʃ ə n
ASSOCIATIONS(1), ə s ˌəʊ s ɪ ˈeɪ ʃ ə n z
ASSOCIATIONS(2), ə s ˌəʊ ʃ ɪ ˈeɪ ʃ ə n z
ASSUME, ə s j ˈuː m
ASSUMED, ə s j ˈuː m d
ASSUMES, ə s j ˈuː m z
ASSUMING, ə s j ˈuː m ɪ ŋ
ASSUMPTION, ə s ˈɐ m p ʃ ə n
ASSUMPTIONS, ə s ˈɐ m p ʃ ə n z
ASSURANCE, ə ʃ ˈʊə ɹ ə n s
ASSURE(1), ə ʃ ˈʊə
ASSURE(2), ə ʃ ˈɔː
ASSURED(1), ə ʃ ˈɔː d
ASSURED(2), ə ʃ ˈʊə d
ASTERISK, ˈæ s t ə ɹ ɪ s k
ASTHMA, ˈæ z m ə
ASTONISHING, ə s t ˈɒ n ɪ ʃ ɪ ŋ
ASTROLOGY, ə s t ɹ ˈɒ l ə dʒ iː
ASTRONOMY, ə s t ɹ ˈɒ n ə m iː
ASYLUM, ə s ˈaɪ l ə m
AT(1), ə t
AT(2), ˈæ t
ATE, ˈeɪ t
ATHENS, ˈæ θ ə n z
ATHLETES, ˈæ θ l ˌiː t s
ATHLETIC, æ θ l ˈɛ t ɪ k
ATHLETICS, æ θ l ˈɛ t ɪ k s
ATLANTA(1), æ t l ˈæ n t ə
ATLANTA(2), ə t l ˈæ n t ə
ATLANTIC, ə t l ˈæ n t ɪ k
ATLAS, ˈæ t l ə s
ATMOSPHERE, ˈæ t m ə s f ˌɪə
ATMOSPHERIC, ˌæ t m ə s f ˈɛ ɹ ɪ k
ATOM, ˈæ t ə m
ATOMIC, ə t ˈɒ m ɪ k
ATOMS, ˈæ t ə m z
ATTACH, ə t ˈæ tʃ
ATTACHED, ə t ˈæ tʃ t
ATTACHMENT, ə t ˈæ tʃ m ə n t
ATTACHMENTS, ə t ˈæ tʃ m ə n t s
ATTACK, ə t ˈæ k
ATTACKED, ə t ˈæ k t
ATTACKING, ə t ˈæ k ɪ ŋ
ATTACKS, ə t ˈæ k s
ATTAINMENT, ə t ˈeɪ n m ə n t
ATTEMPT, ə t ˈɛ m p t
ATTEMPTED, ə t ˈɛ m p t ɪ d
ATTEMPTING, ə t ˈɛ m p t ɪ ŋ
ATTEMPTS, ə t ˈɛ m p t s
ATTEND, ə t ˈɛ n d
ATTENDANCE, ə t ˈɛ n d ə n s
ATTENDED, ə t ˈɛ n d ɪ d
ATTENDING, ə t ˈɛ n d ɪ ŋ
ATTENTION, ə t ˈɛ n ʃ ə n
ATTITUDE, ˈæ t ɪ t j ˌuː d
ATTITUDES, ˈæ t ɪ t j ˌuː d z
ATTORNEY, ə t ˈɜː n iː
ATTORNEYS, ə t ˈɜː n iː z
ATTRACT, ə t ɹ ˈæ k t
ATTRACTED, ə t ɹ ˈæ k t ɪ d
ATTRACTION, ə t ɹ ˈæ k ʃ ə n
ATTRACTIONS, ə t ɹ ˈæ k ʃ ə n z
ATTRACTIVE, ə t ɹ ˈæ k t ɪ v
ATTRIBUTE(1), ˈæ t ɹ ɪ b j ˌuː t
ATTRIBUTE(2), ə t ɹ ˈɪ b j ˌuː t
ATTRIBUTED, ə t ɹ ˈɪ b j ʊ t ɪ d
ATTRIBUTES(1), ˈæ t ɹ ɪ b j ˌuː t s
ATTRIBUTES(2), ə t ɹ ˈɪ b j ˌuː t s
AUBURN, ˈɔː b ə n
AUCKLAND, ˈɔː k l ə n d
AUCTION, ˈɔː k ʃ ə n
AUCTIONS, ˈɔː k ʃ ə n z
AUDI, ˈaʊ d iː
AUDIENCE, ˈɔː d ɪə n s
AUDIENCES, ˈɔː d ɪə n s ɪ z
AUDIO, ˈɔː d ɪ ˌəʊ
AUDIT, ˈɔː d ɪ t
AUDITION, ɔː d ˈɪ ʃ ə n
AUDITOR, ˈɔː d ɪ t ə
AUDITORS, ˈɔː d ɪ t ə z
AUDREY, ˈɔː d ɹ iː
AUGUST, ˈɔː g ə s t
AUNT, ˈɑː n t
AUNTIE, ˈɑː n t iː
AURORA, ɔː ɹ ˈɔː ɹ ə
AUSTIN(1), ˈɒ s t ɪ n
AUSTIN(2), ˈɔː s t ɪ n
AUSTRALIA, ɒ s t ɹ ˈeɪ l ɪə
AUSTRALIAN, ɒ s t ɹ ˈeɪ l ɪə n
AUSTRIA, ˈɒ s t ɹ ɪə
AUTHENTIC, ɔː θ ˈɛ n t ɪ k
AUTHENTICATION, ɔː θ ˌɛ n t ɪ k ˈeɪ ʃ ə n
AUTHOR, ˈɔː θ ə
AUTHORITIES, ɔː θ ˈɒ ɹ ɪ t iː z
AUTHORITY, ɔː θ ˈɒ ɹ ɪ t iː
AUTHORIZATION, ˌɔː θ ə ɹ aɪ z ˈeɪ ʃ ə n
AUTHORIZED, ˈɔː θ ə ɹ ˌaɪ z d
AUTHORS, ˈɔː θ ə z
AUTO, ˈɔː t əʊ
AUTOMATED, ˈɔː t ə m ˌeɪ t ɪ d
AUTOMATIC, ˌɔː t ə m ˈæ t ɪ k
AUTOMATICALLY, ˌɔː t ə m ˈæ t ɪ k l iː
AUTOMATION, ɔː t ə m ˈeɪ ʃ ə n
AUTOMOBILE, ˌɔː t ə m ə b ˈiː l
AUTOMOBILES, ˈɔː t ə m əʊ b ˌiː l z
AUTOMOTIVE, ˌɔː t ə m ˈəʊ t ɪ v
AUTONOMOUS, ɔː t ˈɒ n ə m ə s
AUTONOMY, ɔː t ˈɒ n ə m iː
AUTOS, ˈɔː t əʊ z
AUTUMN, ˈɔː t ə m
AVAILABILITY, ə v ˌeɪ l ə b ˈɪ l ɪ t iː
AVAILABLE, ə v ˈeɪ l ə b ə l
AVATAR, ˈæ v ə t ɑː
AVENUE, ˈæ v ə n j ˌuː
AVERAGE(1), ˈæ v ɹ ɪ dʒ
AVERAGE(2), ˈæ v ə ɹ ɪ dʒ
AVIATION, ˌeɪ v ɪ ˈeɪ ʃ ə n
AVOID, ə v ˈɔɪ d
AVOIDED, ə v ˈɔɪ d ɪ d
AVOIDING, ə v ˈɔɪ d ɪ ŋ
AVON, ˈeɪ v ə n
AW, ˈɔː
AWAITING, ə w ˈeɪ t ɪ ŋ
AWAKE, ə w ˈeɪ k
AWARD, ə w ˈɔː d
AWARDED, ə w ˈɔː d ɪ d
AWARDS, ə w ˈɔː d z
AWARE, ə w ˈɛə
AWARENESS, ə w ˈɛə n ə s
AWAY, ə w ˈeɪ
AWESOME, ˈɔː s ə m
AWFUL, ˈɔː f ə l
AWFULLY(1), ˈɔː f l iː
AWFULLY(2), ˈɔː f ə l iː
AWKWARD, ˈɔː k w ə d
AX, ˈæ k s
AXES, ˈæ k s iː z
AXIS, ˈæ k s ɪ s
AYE(1), ˈaɪ
AYRSHIRE, ˈɛə ʃ ə
AZERBAIJAN, ˌæ z ə b aɪ dʒ ˈɑː n
BABE, b ˈeɪ b
BABES, b ˈeɪ b z
BABIES, b ˈeɪ b iː z
BABY, b ˈeɪ b iː
BABYSITTING, b ˈeɪ b ɪ s ˌɪ t ɪ ŋ
BACHELOR(1), b ˈæ tʃ ə l ə
BACHELOR(2), b ˈæ tʃ l ə
BACK, b ˈæ k
BACKED, b ˈæ k t
BACKGROUND, b ˈæ k g ɹ ˌaʊ n d
BACKGROUNDS, b ˈæ k g ɹ ˌaʊ n d z
BACKING, b ˈæ k ɪ ŋ
BACKS, b ˈæ k s
BACKSIDE, b ˈæ k s ˌaɪ d
BACKUP, b ˈæ k ˌɐ p
BACKWARDS, b ˈæ k w ə d z
BACON, b ˈeɪ k ə n
BACTERIA, b æ k t ˈɪə ɹ ɪə
BACTERIAL, b æ k t ˈɪə ɹ ɪə l
BAD, b ˈæ d
BADGE, b ˈæ dʒ
BADLY, b ˈæ d l iː
BAG, b ˈæ g
BAGGY, b ˈæ g iː
BAGHDAD, b ˈæ g d æ d
BAGS, b ˈæ g z
BAHAMAS, b ə h ˈɑː m ə z
BAHRAIN, b ɑː ɹ ˈeɪ n
BAIL, b ˈeɪ l
BAILEY, b ˈeɪ l iː
BAIT, b ˈeɪ t
BAKED, b ˈeɪ k t
BAKER, b ˈeɪ k ə
BAKING, b ˈeɪ k ɪ ŋ
BALANCE, b ˈæ l ə n s
BALANCED, b ˈæ l ə n s t
BALCONY, b ˈæ l k ə n iː
BALD, b ˈɔː l d
BALI, b ˈɑː l iː
BALL, b ˈɔː l
BALLET, b ˈæ l eɪ
BALLOON, b ə l ˈuː n
BALLOONS, b ə l ˈuː n z
BALLOT, b ˈæ l ə t
BALLS, b ˈɔː l z
BALTIMORE, b ˈɔː l t ɪ m ˌɔː
BAN, b ˈæ n
BANANA, b ə n ˈɑː n ə
BANANAS, b ə n ˈɑː n ə z
BANBURY, b ˈæ n b ə ɹ iː
BANCORP, b ˈæ ŋ k ˌɔː p
BAND, b ˈæ n d
BANDS, b ˈæ n d z
BANDWIDTH, b ˈæ n d w ɪ d θ
BANG, b ˈæ ŋ
BANGING, b ˈæ ŋ ɪ ŋ
BANGKOK(1), b ˈæ ŋ k ɒ k
BANGKOK(2), b æ ŋ k ˈɒ k
BANGLADESH, b ˈæ ŋ l ə d ˌɛ ʃ
BANK, b ˈæ ŋ k
BANKER, b ˈæ ŋ k ə
BANKERS, b ˈæ ŋ k ə z
BANKING, b ˈæ ŋ k ɪ ŋ
BANKRUPTCY(1), b ˈæ ŋ k ɹ ɐ p t s iː
BANKRUPTCY(2), b ˈæ ŋ k ɹ ə p t s iː
BANKS, b ˈæ ŋ k s
BANNED, b ˈæ n d
BANNER, b ˈæ n ə
BANNERS, b ˈæ n ə z
BAPTIST, b ˈæ p t ɪ s t
BAR, b ˈɑː
BARBADOS, b ɑː b ˈeɪ d əʊ s
BARBARA(1), b ˈɑː b ɹ ə
BARBARA(2), b ˈɑː b ə ɹ ə
BARBECUE, b ˈɑː b ɪ k j ˌuː
BARBIE, b ˈɑː b iː
BARCELONA, b ˌɑː s ɪ l ˈəʊ n ə
BARE, b ˈɛə
BARELY, b ˈɛə l iː
BARGAIN, b ˈɑː g ɪ n
BARGAINS, b ˈɑː g ɪ n z
BARKING, b ˈɑː k ɪ ŋ
BARKS, b ˈɑː k s
BARN, b ˈɑː n
BARNES, b ˈɑː n z
BARNET, b ˈɑː n ɪ t
BARON, b ˈæ ɹ ə n
BARREL, b ˈæ ɹ ə l
BARRIER, b ˈæ ɹ ɪə
BARRIERS, b ˈæ ɹ ɪə z
BARRY, b ˈæ ɹ iː
BARS, b ˈɑː z
BASE, b ˈeɪ s
BASEBALL, b ˈeɪ s b ˌɔː l
BASED, b ˈeɪ s t
BASELINE, b ˈeɪ s l ˌaɪ n
BASEMENT, b ˈeɪ s m ə n t
BASES, b ˈeɪ s ɪ z
BASIC, b ˈeɪ s ɪ k
BASICALLY, b ˈeɪ s ɪ k l iː
BASICS, b ˈeɪ s ɪ k s
BASIN, b ˈeɪ s ɪ n
BASIS, b ˈeɪ s ɪ s
BASKET, b ˈɑː s k ɪ t
BASKETBALL, b ˈɑː s k ɪ t b ˌɔː l
BASKETS, b ˈɑː s k ɪ t s
BASS(1), b ˈæ s
BASS(2), b ˈeɪ s
BASTARD, b ˈɑː s t ə d
BASTARDS, b ˈɑː s t ə d z
BAT, b ˈæ t
BATCH, b ˈæ tʃ
BATH, b ˈɑː θ
BATHROOM, b ˈɑː θ ɹ ˌuː m
BATHROOMS, b ˈɑː θ ɹ ˌuː m z
BATHS, b ˈɑː θ s
BATMAN, b ˈæ t m ˌæ n
BATTERIES, b ˈæ t ə ɹ iː z
BATTERY, b ˈæ t ə ɹ iː
BATTLE, b ˈæ t ə l
BATTLEFIELD, b ˈæ t ə l f ˌiː l d
BATTLES, b ˈæ t ə l z
BAY, b ˈeɪ
BE(1), b ɪ
BE(2), b ˈiː
BEACH, b ˈiː tʃ
BEACHES, b ˈiː tʃ ɪ z
BEADS, b ˈiː d z
BEAM, b ˈiː m
BEAN, b ˈiː n
BEANS, b ˈiː n z
BEAR, b ˈɛə
BEARD, b ˈɪə d
BEARING, b ˈɛə ɹ ɪ ŋ
BEARINGS, b ˈɛə ɹ ɪ ŋ z
BEARS, b ˈɛə z
BEAST, b ˈiː s t
BEAT, b ˈiː t
BEATEN, b ˈiː t ə n
BEATING, b ˈiː t ɪ ŋ
BEATLES, b ˈiː t ə l z
BEATS, b ˈiː t s
BEAUTIFUL, b j ˈuː t ə f ə l
BEAUTIFULLY, b j ˈuː t ə f l iː
BEAUTY, b j ˈuː t iː
BEAVER, b ˈiː v ə
BECAME, b ɪ k ˈeɪ m
BECAUSE(1), b ɪ k ˈɒ z
BECAUSE(2), b ɪ k ˈə z
BECKY, b ˈɛ k iː
BECOME, b ɪ k ˈɐ m
BECOMES, b ɪ k ˈɐ m z
BECOMING, b ɪ k ˈɐ m ɪ ŋ
BED, b ˈɛ d
BEDDING, b ˈɛ d ɪ ŋ
BEDFORD, b ˈɛ d f ə d
BEDFORDSHIRE, b ˈɛ d f ə d ʃ ə
BEDROOM, b ˈɛ d ɹ ˌuː m
BEDROOMS, b ˈɛ d ɹ ˌuː m z
BEDS, b ˈɛ d z
BEE, b ˈiː
BEEF, b ˈiː f
BEEN(1), b ɪ n
BEEN(2), b ˈiː n
BEEN(3), b ˈɪ n
BEEP, b ˈiː p
BEEPING, b ˈiː p ɪ ŋ
BEEPS, b ˈiː p s
BEER, b ˈɪə
BEES, b ˈiː z
BEETHOVEN, b ˌeɪ t ˈəʊ v ə n
BEFORE, b ɪ f ˈɔː
BEFOREHAND, b ɪ f ˈɔː h ˌæ n d
BEG, b ˈɛ g
BEGAN, b ɪ g ˈæ n
BEGGING, b ˈɛ g ɪ ŋ
BEGIN, b ɪ g ˈɪ n
BEGINNER, b ɪ g ˈɪ n ə
BEGINNERS, b ɪ g ˈɪ n ə z
BEGINNING, b ɪ g ˈɪ n ɪ ŋ
BEGINS, b ɪ g ˈɪ n z
BEGUN, b ɪ g ˈɐ n
BEHALF, b ɪ h ˈɑː f
BEHAVE, b ɪ h ˈeɪ v
BEHAVIOR, b ɪ h ˈeɪ v j ə
BEHAVIORAL, b ɪ h ˈeɪ v j ə ɹ ə l
BEHAVIOUR, b ɪ h ˈeɪ v j ə
BEHIND, b ɪ h ˈaɪ n d
BEIJING, b ˌeɪ ʒ ˈɪ ŋ
BEING, b ˈiː ɪ ŋ
BEINGS, b ˈiː ɪ ŋ z
BELARUS(1), b ˌɛ l ə ɹ ˈuː s
BELARUS(2), b ˈɛ l ə ɹ ˌʊ s
BELFAST, b ˈɛ l f ˌɑː s t
BELGIUM, b ˈɛ l dʒ ə m
BELIEF, b ɪ l ˈiː f
BELIEFS, b ɪ l ˈiː f s
BELIEVE, b ɪ l ˈiː v
BELIEVED, b ɪ l ˈiː v d
BELIEVES, b ɪ l ˈiː v z
BELIEVING, b ɪ l ˈiː v ɪ ŋ
BELIZE(1), b ɛ l ˈiː z
BELIZE(2), b ə l ˈiː z
BELL, b ˈɛ l
BELLE, b ˈɛ l
BELLS, b ˈɛ l z
BELLY, b ˈɛ l iː
BELONG, b ɪ l ˈɒ ŋ
BELONGED, b ɪ l ˈɒ ŋ d
BELONGING, b ɪ l ˈɒ ŋ ɪ ŋ
BELONGS, b ɪ l ˈɒ ŋ z
BELOVED(1), b ɪ l ˈɐ v d
BELOVED(2), b ɪ l ˈɐ v ə d
BELOW, b ɪ l ˈəʊ
BELT, b ˈɛ l t
BELTS, b ˈɛ l t s
BEN, b ˈɛ n
BENCH, b ˈɛ n tʃ
BENCHMARK, b ˈɛ n tʃ m ˌɑː k
BEND, b ˈɛ n d
BENEATH, b ɪ n ˈiː θ
BENEFICIAL, b ˌɛ n ɪ f ˈɪ ʃ ə l
BENEFIT, b ˈɛ n ə f ɪ t
BENEFITS, b ˈɛ n ə f ɪ t s
BENJAMIN, b ˈɛ n dʒ ə m ɪ n
BENJY, b ˈɛ n dʒ iː
BENNETT(1), b ˈɛ n ə t
BENNETT(2), b ˈɛ n ɪ t
BENT, b ˈɛ n t
BENZ, b ˈɛ n z
BERKELEY, b ˈɜː k l iː
BERKSHIRE(1), b ˈɑː k ʃ ə
BERKSHIRE(2), b ˈɑː k ʃ ˌɪə
BERLIN, b ə l ˈɪ n
BERMUDA, b ə m j ˈuː d ə
BERNARD, b ˈɜː n ə d
BERNIE, b ˈɜː n iː
BERRY, b ˈɛ ɹ iː
BESIDE, b ɪ s ˈaɪ d
BESIDES, b ɪ s ˈaɪ d z
BEST, b ˈɛ s t
BESTIALITY, b ˌɛ s t ɪ ˈæ l ɪ t iː
BESTSELLERS, b ˈɛ s t s ˌɛ l ə z
BET, b ˈɛ t
BETA, b ˈiː t ə
BETRAY, b ɪ t ɹ ˈeɪ
BETRAYED, b ɪ t ɹ ˈeɪ d
BETS, b ˈɛ t s
BETTER, b ˈɛ t ə
BETTING, b ˈɛ t ɪ ŋ
BETTY, b ˈɛ t iː
BETWEEN, b ɪ t w ˈiː n
BEV, b ˈɛ v
BEVERAGE(1), b ˈɛ v ɹ ɪ dʒ
BEVERAGE(2), b ˈɛ v ə ɹ ɪ dʒ
BEVERAGES, b ˈɛ v ɹ ɪ dʒ ɪ z
BEVERLEY, b ˈɛ v ə l iː
BEVERLY, b ˈɛ v ə l iː
BEWARE, b ɪ w ˈɛə
BEXLEY, b ˈɛ k s l iː
BEYOND, b ɪ j ˈɒ n d
BHUTAN, b uː t ˈɑː n
BI, b ˈaɪ
BIAS, b ˈaɪ ə s
BIB, b ˈɪ b
BIBLE, b ˈaɪ b ə l
BIBLICAL, b ˈɪ b l ɪ k ə l
BIBLIOGRAPHIC, b ˌɪ b l ɪ əʊ g ɹ ˈæ f ɪ k
BIBLIOGRAPHY, b ˌɪ b l ɪ ˈɒ g ɹ ə f iː
BICESTER, b ˈɪ s t ə
BICYCLE, b ˈaɪ s ɪ k ə l
BID, b ˈɪ d
BIDDER, b ˈɪ d ə
BIDDING, b ˈɪ d ɪ ŋ
BIDS, b ˈɪ d z
BIG, b ˈɪ g
BIGGER, b ˈɪ g ə
BIGGEST, b ˈɪ g ə s t
BIKE, b ˈaɪ k
BIKES, b ˈaɪ k s
BIKINI, b ɪ k ˈiː n iː
BILE, b ˈaɪ l
BILL, b ˈɪ l
BILLING, b ˈɪ l ɪ ŋ
BILLION, b ˈɪ l j ə n
BILLS, b ˈɪ l z
BILLY, b ˈɪ l iː
BIN, b ˈɪ n
BINARY, b ˈaɪ n ə ɹ iː
BIND, b ˈaɪ n d
BINDING, b ˈaɪ n d ɪ ŋ
BINGO, b ˈɪ ŋ g əʊ
BIODIVERSITY, b ˌaɪ əʊ d aɪ v ˈɜː s ɪ t iː
BIOGRAPHIES, b aɪ ˈɒ g ɹ ə f iː z
BIOGRAPHY, b aɪ ˈɒ g ɹ ə f iː
