'COS, k ˈə z
ANALYZED, ˈæ n ə l ˌaɪ z d
ANATHEMA, ə n ˈæ θ ə m ə
ANATHEMAS, ə n ˈæ θ ə m ə z
ANATOMY, ə n ˈæ t ə m i
ANCESTOR, ˈæ n s ˌɛ s t ə
ANCESTORS, ˈæ n s ˌɛ s t ə z
ANCESTRAL, æ n s ˈɛ s t ɹ ə l
ANCHOR, ˈæ ŋ k ə
ANCIENT, ˈeɪ n ʃ ə n t
ANCILLARY, æ n s ˈɪ l ə ɹ i
AND(1), ə n d
AND(2), ˈæ n d
ANDERSON, ˈæ n d ə s ə n
ANDORRA, æ n d ˈɔː ɹ ə
ANDREA(1), ˈæ n d ɹ ɪə
ANDREA(2), ˌæ n d ɹ ˈeɪ ə
ANDREAS, ɒ n d ɹ ˈeɪ ə s
ANDREW, ˈæ n d ɹ uː
ANDREWS, ˈæ n d ɹ ˌuː z
ANDROID, ˈæ n d ɹ ɔɪ d
ANDY, ˈæ n d i
ANECDOTE, ˈæ n ɪ k d ˌəʊ t
ANECDOTES, ˈæ n ɪ k d ˌəʊ t s
ANEMONE, ə n ˈɛ m ə n i
ANESTHESIA, ˌæ n ɪ s θ ˈiː z ɪə
ANEW, ə n j ˈuː
ANGEL, ˈeɪ n dʒ ə l
ANGELA, ˈæ n dʒ ə l ə
ANGELS, ˈeɪ n dʒ ə l z
ANGER, ˈæ ŋ g ə
ANGIE, ˈæ n dʒ i
ANGLE, ˈæ ŋ g ə l
ANGLES, ˈæ ŋ g ə l z
ANGOLA, æ ŋ g ˈəʊ l ə
ANGRILY, ˈæ ŋ g ɹ ɪ l i
ANGRY, ˈæ ŋ g ɹ i
ANGST, ˌæ ŋ s t
ANGUS, ˈæ ŋ g ə s
ANIMAL, ˈæ n ɪ m ə l
ANIMALS, ˈæ n ɪ m ə l z
ANIMATED, ˈæ n ɪ m ˌeɪ t ɪ d
ANIMATION, ˌæ n ɪ m ˈeɪ ʃ ə n
ANIME, ˈæ n ɪ m ˌeɪ
ANKLE, ˈæ ŋ k ə l
ANN, ˈæ n
ANNA, ˈæ n ə
ANNABEL, ˈæ n ə b ˌɛ l
ANNE, ˈæ n
ANNETTE, ə n ˈɛ t
ANNEX(1), ˈæ n ˌɛ k s
ANNEX(2), ˌæ n ˈɛ k s
ANNEXE(1), ˈæ n ɪ k s
ANNEXE(2), ˈæ n ˌɛ k s
ANNIE, ˈæ n i
ANNIVERSARY, ˌæ n ɪ v ˈɜː s ə ɹ i
ANNOTATED(1), ˈæ n ə t ˌeɪ t ɪ d
ANNOTATED(2), ˈæ n əʊ t ˌeɪ t ɪ d
ANNOTATION, ˌæ n ə t ˈeɪ ʃ ə n
ANNOUNCE, ə n ˈaʊ n s
ANNOUNCED, ə n ˈaʊ n s t
ANNOUNCEMENT, ə n ˈaʊ n s m ə n t
ANNOUNCEMENTS, ə n ˈaʊ n s m ə n t s
ANNOUNCER, ə n ˈaʊ n s ə
ANNOUNCES, ə n ˈaʊ n s ɪ z
ANNOY, ə n ˈɔɪ
ANNOYANCE, ə n ˈɔɪ ə n s
ANNOYED, ə n ˈɔɪ d
ANNOYING, ə n ˈɔɪ ɪ ŋ
ANNOYS, ə n ˈɔɪ z
ANNUAL, ˈæ n j ʊə l
ANNUALLY, ˈæ n j ʊə l i
ANNUL, ə n ˈɐ l
ANOMALOUS, ə n ˈɒ m ə l ə s
ANOMALY, ə n ˈɒ m ə l i
ANONYMOUS, ə n ˈɒ n ɪ m ə s
ANOTHER, ə n ˈɐ ð ə
ANSWER, ˈɑː n s ə
ANSWERED, ˈɑː n s ə d
ANSWERING, ˈɑː n s ə ɹ ɪ ŋ
ANSWERS, ˈɑː n s ə z
ANT, ˈæ n t
ANTARCTICA, ˌæ n t ˈɑː k t ɪ k ə
ANTE, ˈæ n t i
ANTENNA, æ n t ˈɛ n ə
ANTHONY, ˈæ n θ ə n i
ANTHROPOLOGY, ˌæ n θ ɹ ə p ˈɒ l ə dʒ i
ANTI, ˈæ n t i
ANTIBIOTIC, ˌæ n t ɪ b aɪ ˈɒ t ɪ k
ANTIBIOTICS, ˌæ n t ɪ b aɪ ˈɒ t ɪ k s
ANTIBODIES, ˈæ n t ɪ b ˌɒ d i z
ANTIBODY, ˈæ n t ɪ b ˌɒ d i
ANTICEDENT, ˌæ n t ɪ s ˈiː d ə n t
ANTICIPATE, æ n t ˈɪ s ɪ p ˌeɪ t
ANTICIPATED, æ n t ˈɪ s ɪ p ˌeɪ t ɪ d
ANTICIPATION, ˌæ n t ɪ s ɪ p ˈeɪ ʃ ə n
ANTICS, ˈæ n t ɪ k s
ANTIDOTE, ˈæ n t ɪ d ˌəʊ t
ANTIGUA(1), æ n t ˈiː g ə
ANTIGUA(2), æ n t ˈiː g w ə
ANTIPODES, æ n t ˈɪ p ə d ˌiː z
ANTIQUATED, ˈæ n t ɪ k w ˌeɪ t ɪ d
ANTIQUE, æ n t ˈiː k
ANTIQUES, æ n t ˈiː k s
ANTIQUITY, æ n t ˈɪ k w ɪ t i
ANTIVIRUS, ˌæ n t ɪ v ˈaɪ ɹ ə s
ANTONIO, æ n t ˈəʊ n ɪ əʊ
ANUS, ˈeɪ n ə s
ANXIETY, æ ŋ z ˈaɪ ə t i
ANXIOUS(1), ˈæ ŋ ʃ ə s
ANXIOUS(2), ˈæ ŋ k ʃ ə s
ANY, ˈɛ n i
ANYBODY(1), ˈɛ n ɪ b ˌɒ d i
ANYBODY(2), ˈɛ n ɪ b ə d i
ANYHOW, ˈɛ n ɪ h ˌaʊ
ANYMORE, ˌɛ n ɪ m ˈɔː
ANYONE(1), ˈɛ n ɪ w ə n
ANYONE(2), ˈɛ n ɪ w ˌɐ n
ANYTHING, ˈɛ n ɪ θ ˌɪ ŋ
ANYTIME, ˈɛ n ɪ t ˌaɪ m
ANYWAY, ˈɛ n ɪ w ˌeɪ
ANYWAYS, ˈɛ n ɪ w ˌeɪ z
ANYWHERE, ˈɛ n ɪ w ˌɛə
APACE, ə p ˈeɪ s
APACHE, ə p ˈæ tʃ i
APART, ə p ˈɑː t
APARTMENT, ə p ˈɑː t m ə n t
APARTMENTS, ə p ˈɑː t m ə n t s
APE, ˈeɪ p
APEX, ˈeɪ p ɛ k s
APOLLO, ə p ˈɒ l əʊ
APOLOGIES, ə p ˈɒ l ə dʒ i z
APOLOGISE, ə p ˈɒ l ə dʒ ˌaɪ z
APOLOGISED, ə p ˈɒ l ə dʒ ˌaɪ z d
APOLOGIZE, ə p ˈɒ l ə dʒ ˌaɪ z
APOLOGIZED, ə p ˈɒ l ə dʒ ˌaɪ z d
APOLOGY, ə p ˈɒ l ə dʒ i
APOSTROPHE, ə p ˈɒ s t ɹ ə f i
APP, ˈæ p
APPALLED, ə p ˈɔː l d
APPALLING, ə p ˈɔː l ɪ ŋ
APPARATUS, ˌæ p ə ɹ ˈæ t ə s
APPAREL, ə p ˈæ ɹ ə l
APPARENT, ə p ˈɛə ɹ ə n t
APPARENTLY, ə p ˈɛə ɹ ə n t l i
APPEAL, ə p ˈiː l
APPEALING, ə p ˈiː l ɪ ŋ
APPEALS, ə p ˈiː l z
APPEAR, ə p ˈɪə
APPEARANCE, ə p ˈɪə ɹ ə n s
APPEARANCES, ə p ˈɪə ɹ ə n s ɪ z
APPEARED, ə p ˈɪə d
APPEARING, ə p ˈɪə ɹ ɪ ŋ
APPEARS, ə p ˈɪə z
APPENDICES, ə p ˈɛ n d ɪ s ˌiː z
APPENDIX, ə p ˈɛ n d ɪ k s
APPENDIXES, ə p ˈɛ n d ɪ k s ɪ z
APPETITE, ˈæ p ɪ t ˌaɪ t
APPLAUSE, ə p l ˈɔː z
APPLE, ˈæ p ə l
APPLES, ˈæ p ə l z
APPLIANCE, ə p l ˈaɪ ə n s
APPLIANCES, ə p l ˈaɪ ə n s ɪ z
APPLICABLE(1), ˈæ p l ɪ k ə b ə l
APPLICABLE(2), ə p l ˈɪ k ə b ə l
APPLICANT, ˈæ p l ɪ k ə n t
APPLICANTS, ˈæ p l ɪ k ə n t s
APPLICATION, ˌæ p l ɪ k ˈeɪ ʃ ə n
APPLICATIONS, ˌæ p l ɪ k ˈeɪ ʃ ə n z
APPLIED, ə p l ˈaɪ d
APPLIES, ə p l ˈaɪ z
APPLY, ə p l ˈaɪ
APPLYING, ə p l ˈaɪ ɪ ŋ
APPOINT, ə p ˈɔɪ n t
APPOINTED, ə p ˈɔɪ n t ɪ d
APPOINTMENT, ə p ˈɔɪ n t m ə n t
APPOINTMENTS, ə p ˈɔɪ n t m ə n t s
APPRAISAL, ə p ɹ ˈeɪ z ə l
APPRECIATE, ə p ɹ ˈiː ʃ ɪ ˌeɪ t
APPRECIATED, ə p ɹ ˈiː ʃ ɪ ˌeɪ t ɪ d
APPRECIATION, ə p ɹ ˌiː ʃ ɪ ˈeɪ ʃ ə n
APPROACH, ə p ɹ ˈəʊ tʃ
APPROACHED, ə p ɹ ˈəʊ tʃ t
APPROACHES, ə p ɹ ˈəʊ tʃ ɪ z
APPROACHING, ə p ɹ ˈəʊ tʃ ɪ ŋ
APPROPRIATE(1), ə p ɹ ˈəʊ p ɹ ɪə t
APPROPRIATE(2), ə p ɹ ˈəʊ p ɹ ɪ ˌeɪ t
APPROPRIATELY, ə p ɹ ˈəʊ p ɹ ɪə t l i
APPROPRIATIONS, ə p ɹ ˌəʊ p ɹ ɪ ˈeɪ ʃ ə n z
APPROVAL, ə p ɹ ˈuː v ə l
APPROVE, ə p ɹ ˈuː v
APPROVED, ə p ɹ ˈuː v d
APPROXIMATE(1), ə p ɹ ˈɒ k s ɪ m ˌeɪ t
APPROXIMATE(2), ə p ɹ ˈɒ k s ɪ m ɪ t
APPROXIMATELY, ə p ɹ ˈɒ k s ɪ m ə t l i
APPROXIMATION, ə p ɹ ˈɒ k s ɪ m ˌeɪ ʃ ə n
APPS, ˈæ p s
APRIL, ˈeɪ p ɹ ə l
APRON, ˈeɪ p ɹ ə n
APT, ˈæ p t
APTLY, ˈæ p t l i
AQUA, ˈæ k w ə
AQUARIUM, ə k w ˈɛə ɹ ɪə m
AQUATIC(1), ə k w ˈæ t ɪ k
AQUATIC(2), ə k w ˈɒ t ɪ k
AR, ˈɑː
ARAB, ˈæ ɹ ə b
ARABIA, ə ɹ ˈeɪ b ɪə
ARABIC, ˈæ ɹ ə b ɪ k
ARBITRARY, ˈɑː b ɪ t ɹ ə ɹ i
ARBITRATION, ˌɑː b ɪ t ɹ ˈeɪ ʃ ə n
ARBOR, ˈɑː b ə
ARC, ˈɑː k
ARCADE, ɑː k ˈeɪ d
ARCH, ˈɑː tʃ
ARCHAEOLOGICAL, ˌɑː k ɪə l ˈɒ dʒ ɪ k ə l
ARCHAEOLOGY, ˌɑː k ɪ ˈɒ l ə dʒ i
ARCHBISHOP(1), ɑː tʃ b ˈɪ ʃ ə p
ARCHBISHOP(2), ˈɑː tʃ b ɪ ʃ ə p
ARCHERY, ˈɑː tʃ ə ɹ i
ARCHITECT, ˈɑː k ɪ t ˌɛ k t
ARCHITECTS, ˈɑː k ɪ t ˌɛ k t s
ARCHITECTURAL, ˌɑː k ɪ t ˈɛ k tʃ ə ɹ ə l
ARCHITECTURE, ˈɑː k ɪ t ˌɛ k tʃ ə
ARCHIVE, ˈɑː k ˌaɪ v
ARCHIVED, ˈɑː k ˌaɪ v d
ARCHIVES, ˈɑː k ˌaɪ v z
ARCTIC, ˈɑː k t ɪ k
ARE(1), ə
ARE(2), ˈɑː
AREA, ˈɛə ɹ ɪə
AREAS, ˈɛə ɹ ɪə z
AREN'T, ˈɑː n t
ARENA, ə ɹ ˈiː n ə
ARGENTINA, ˌɑː dʒ ə n t ˈiː n ə
ARGUE, ˈɑː g j uː
ARGUED, ˈɑː g j uː d
ARGUES, ˈɑː g j uː z
ARGUING, ˈɑː g j uː ɪ ŋ
ARGUMENT, ˈɑː g j ʊ m ə n t
ARGUMENTS, ˈɑː g j ʊ m ə n t s
ARGYLL, ɑː g ˈaɪ l
ARIA, ˈɑː ɹ ɪə
ARID, ˈæ ɹ ɪ d
ARISE, ə ɹ ˈaɪ z
ARISEN, ə ɹ ˈɪ z ə n
ARISES, ə ɹ ˈaɪ z ɪ z
ARISING, ə ɹ ˈaɪ z ɪ ŋ
ARITHMETIC(1), ə ɹ ˈɪ θ m ə t ɪ k
ARITHMETIC(2), ˌæ ɹ ɪ θ m ˈɛ t ɪ k
ARIZONA, ˌæ ɹ ɪ z ˈəʊ n ə
ARK, ˈɑː k
ARKANSAS, ˈɑː k ə n s ˌɔː
ARLINGTON, ˈɑː l ɪ ŋ t ə n
ARM, ˈɑː m
ARMAGGEDON, ˌɑː m ə g ˈɛ d ə n
ARMED, ˈɑː m d
ARMENIA, ɑː m ˈiː n ɪə
ARMIES, ˈɑː m i z
ARMOR, ˈɑː m ə
ARMOUR, ˈɑː m ə
ARMS, ˈɑː m z
ARMSTRONG, ˈɑː m s t ɹ ˌɒ ŋ
ARMY, ˈɑː m i
ARNOLD, ˈɑː n ə l d
AROMA, ə ɹ ˈəʊ m ə
AROSE, ə ɹ ˈəʊ z
AROUND, ə ɹ ˈaʊ n d
AROUSE, ə ɹ ˈaʊ z
AROUSED, ə ɹ ˈaʊ z d
AROUSES, ə ɹ ˈaʊ z i z
ARRANGE, ə ɹ ˈeɪ n dʒ
ARRANGED, ə ɹ ˈeɪ n dʒ d
ARRANGEMENT, ə ɹ ˈeɪ n dʒ m ə n t
ARRANGEMENTS, ə ɹ ˈeɪ n dʒ m ə n t s
ARRAY, ə ɹ ˈeɪ
ARREST, ə ɹ ˈɛ s t
ARRESTED, ə ɹ ˈɛ s t ɪ d
ARRIVAL, ə ɹ ˈaɪ v ə l
ARRIVALS, ə ɹ ˈaɪ v ə l z
ARRIVE, ə ɹ ˈaɪ v
ARRIVED, ə ɹ ˈaɪ v d
ARRIVES, ə ɹ ˈaɪ v z
ARRIVING, ə ɹ ˈaɪ v ɪ ŋ
ARROW, ˈæ ɹ əʊ
ARS, ˈɑː z
ARSE, ˈɑː s
ARSEHOLE, ˈɑː s h ˌəʊ l
ARSENAL, ˈɑː s ə n ə l
ARSENIC(1), ˈɑː s n ɪ k
ARSENIC(2), ˈɑː s ə n ɪ k
ARSON, ˈɑː s ə n
ART, ˈɑː t
ARTERY, ˈɑː t ə ɹ i
ARTHRITIS, ɑː θ ɹ ˈaɪ t ɪ s
ARTHUR, ˈɑː θ ə
ARTICLE, ˈɑː t ɪ k ə l
ARTICLES, ˈɑː t ɪ k ə l z
ARTICULATE(1), ɑː t ˈɪ k j ʊ l ɪ t
ARTICULATE(2), ɑː t ˈɪ k j ʊ l ˌeɪ t
ARTIFACT, ˈɑː t ɪ f ˌæ k t
ARTIFICIAL, ˌɑː t ɪ f ˈɪ ʃ ə l
ARTIST, ˈɑː t ɪ s t
ARTISTIC, ˌɑː t ˈɪ s t ɪ k
ARTISTS, ˈɑː t ɪ s t s
ARTS, ˈɑː t s
ARTWORK, ˈɑː t w ˌɜː k
ARTY, ˈɑː t i
ARUBA, ə ɹ ˈuː b ə
AS(1), ˈæ z
AS(2), ə z
ASBESTOS(1), æ s b ˈɛ s t ɒ s
ASBESTOS(2), æ s b ˈɛ s t ə s
ASCERTAIN, ˌæ s ə t ˈeɪ n
ASCII, ˈæ s k i
ASDA, ˈæ s d ə
ASH, ˈæ ʃ
ASHAMED, ə ʃ ˈeɪ m d
ASHES, ˈæ ʃ ɪ z
ASHLEY, ˈæ ʃ l i
ASHORE, ə ʃ ˈɔː
ASHTRAY, ˈæ ʃ t ɹ ˌeɪ
ASIA(1), ˈeɪ ʃ ə
ASIA(2), ˈeɪ ʒ ə
ASIAN(1), ˈeɪ ʃ ə n
ASIAN(2), ˈeɪ ʒ ə n
ASIDE, ə s ˈaɪ d
ASK, ˈɑː s k
ASKED, ˈɑː s k t
ASKING, ˈɑː s k ɪ ŋ
ASKS, ˈɑː s k s
ASLACKBY, ˈeɪ z ə l b i
ASLEEP, ə s l ˈiː p
ASPECT, ˈæ s p ˌɛ k t
ASPECTS, ˈæ s p ˌɛ k t s
ASPHALT, ˈæ s f æ l t
ASPIRATION, ˌæ s p ɪ ɹ ˈeɪ ʃ ə n
ASPIRATIONS, ˌæ s p ɪ ɹ ˈeɪ ʃ ə n z
ASPIRE, ə s p ˈaɪ ə
ASS, ˈɑː s
ASSAILANT, ə s ˈeɪ l ə n t
ASSAULT, ə s ˈɔː l t
ASSEMBLE, ə s ˈɛ m b ə l
ASSEMBLED, ə s ˈɛ m b ə l d
ASSEMBLY, ə s ˈɛ m b l i
ASSERT, ə s ˈɜː t
ASSERTION, ə s ˈɜː ʃ ə n
ASSERTIVE, ə s ˈɜː t ɪ v
ASSES, ˈɑː s ɪ z
ASSESS, ə s ˈɛ s
ASSESSED, ə s ˈɛ s t
ASSESSING, ə s ˈɛ s ɪ ŋ
ASSESSMENT, ə s ˈɛ s m ə n t
ASSESSMENTS, ə s ˈɛ s m ə n t s
ASSET, ˈæ s ˌɛ t
ASSETS, ˈæ s ˌɛ t s
ASSHOLE, ˈɑː s h əʊ l
ASSHOLES, ˈɑː s h əʊ l z
ASSIGN, ə s ˈaɪ n
ASSIGNED, ə s ˈaɪ n d
ASSIGNMENT, ə s ˈaɪ n m ə n t
ASSIGNMENTS, ə s ˈaɪ n m ə n t s
ASSIMILATE, ə s ˈɪ m ɪ l ˌeɪ t
ASSIST, ə s ˈɪ s t
ASSISTANCE, ə s ˈɪ s t ə n s
ASSISTANT, ə s ˈɪ s t ə n t
ASSISTED, ə s ˈɪ s t ɪ d
ASSISTS, ə s ˈɪ s t s
ASSOCIATE(1), ə s ˈəʊ ʃ ɪ ˌeɪ t
ASSOCIATE(2), ə s ˈəʊ s ɪ ˌeɪ t
ASSOCIATE(3), ə s ˈəʊ ʃ ɪə t
ASSOCIATE(4), ə s ˈəʊ s ɪə t
ASSOCIATED(1), ə s ˈəʊ s ɪ ˌeɪ t ɪ d
ASSOCIATED(2), ə s ˈəʊ ʃ ɪ ˌeɪ t ɪ d
ASSOCIATES(1), ə s ˈəʊ ʃ ɪ ˌeɪ t s
ASSOCIATES(2), ə s ˈəʊ s ɪ ˌeɪ t s
ASSOCIATES(3), ə s ˈəʊ ʃ ɪə t s
ASSOCIATES(4), ə s ˈəʊ s ɪə t s
ASSOCIATION(1), ə s ˌəʊ s ɪ ˈeɪ ʃ ə n
ASSOCIATION(2), ə s ˌəʊ ʃ ɪ ˈeɪ ʃ ə n
ASSOCIATIONS(1), ə s ˌəʊ s ɪ ˈeɪ ʃ ə n z
ASSOCIATIONS(2), ə s ˌəʊ ʃ ɪ ˈeɪ ʃ ə n z
ASSUME, ə s j ˈuː m
ASSUMED, ə s j ˈuː m d
ASSUMES, ə s j ˈuː m z
ASSUMING, ə s j ˈuː m ɪ ŋ
ASSUMPTION, ə s ˈɐ m p ʃ ə n
ASSUMPTIONS, ə s ˈɐ m p ʃ ə n z
ASSURANCE, ə ʃ ˈʊə ɹ ə n s
ASSURE(1), ə ʃ ˈʊə
ASSURE(2), ə ʃ ˈɔː
ASSURED(1), ə ʃ ˈɔː d
ASSURED(2), ə ʃ ˈʊə d
ASTERISK, ˈæ s t ə ɹ ɪ s k
ASTEROID, ˈæ s t ə ɹ ˌɔɪ d
ASTHMA, ˈæ z m ə
ASTON, ˈæ s t ə n
ASTONISHING, ə s t ˈɒ n ɪ ʃ ɪ ŋ
ASTROLOGY, ə s t ɹ ˈɒ l ə dʒ i
ASTRONOMY, ə s t ɹ ˈɒ n ə m i
ASYLUM, ə s ˈaɪ l ə m
ASYMMETRIC(1), ˌæ s ɪ m ˈɛ t ɹ ɪ k
ASYMMETRIC(2), ˌeɪ s ɪ m ˈɛ t ɹ ɪ k
ASYMPTOTE, ˈæ s ɪ m t ˌəʊ t
ASYMPTOTIC, ˌæ s ɪ m t ˈɒ t ɪ k
AT(1), ə t
AT(2), ˈæ t
ATE, ˈeɪ t
ATHENS, ˈæ θ ə n z
ATHLETE, ˈæ θ l ˌiː t
ATHLETES, ˈæ θ l ˌiː t s
ATHLETIC, æ θ l ˈɛ t ɪ k
ATHLETICS, æ θ l ˈɛ t ɪ k s
ATLANTA(1), æ t l ˈæ n t ə
ATLANTA(2), ə t l ˈæ n t ə
ATLANTIC, ə t l ˈæ n t ɪ k
ATLAS, ˈæ t l ə s
ATLASES, ˈæ t l ə s ə s
ATMOSPHERE, ˈæ t m ə s f ˌɪə
ATMOSPHERIC, ˌæ t m ə s f ˈɛ ɹ ɪ k
ATOM, ˈæ t ə m
ATOMIC, ə t ˈɒ m ɪ k
ATOMS, ˈæ t ə m z
ATOP, ə t ˈɒ p
ATTACH, ə t ˈæ tʃ
ATTACHED, ə t ˈæ tʃ t
ATTACHMENT, ə t ˈæ tʃ m ə n t
ATTACHMENTS, ə t ˈæ tʃ m ə n t s
ATTACK, ə t ˈæ k
ATTACKED, ə t ˈæ k t
ATTACKING, ə t ˈæ k ɪ ŋ
ATTACKS, ə t ˈæ k s
ATTAIN, ə t ˈeɪ n
ATTAINMENT, ə t ˈeɪ n m ə n t
ATTEMPT, ə t ˈɛ m p t
ATTEMPTED, ə t ˈɛ m p t ɪ d
ATTEMPTING, ə t ˈɛ m p t ɪ ŋ
ATTEMPTS, ə t ˈɛ m p t s
ATTEND, ə t ˈɛ n d
ATTENDANCE, ə t ˈɛ n d ə n s
ATTENDED, ə t ˈɛ n d ɪ d
ATTENDING, ə t ˈɛ n d ɪ ŋ
ATTENTION, ə t ˈɛ n ʃ ə n
ATTIC, ˈæ t ɪ k
ATTITUDE, ˈæ t ɪ t j ˌuː d
ATTITUDES, ˈæ t ɪ t j ˌuː d z
ATTORNEY, ə t ˈɜː n i
ATTORNEYS, ə t ˈɜː n i z
ATTRACT, ə t ɹ ˈæ k t
ATTRACTED, ə t ɹ ˈæ k t ɪ d
ATTRACTION, ə t ɹ ˈæ k ʃ ə n
ATTRACTIONS, ə t ɹ ˈæ k ʃ ə n z
ATTRACTIVE, ə t ɹ ˈæ k t ɪ v
ATTRIBUTE(1), ˈæ t ɹ ɪ b j ˌuː t
ATTRIBUTE(2), ə t ɹ ˈɪ b j ˌuː t
ATTRIBUTED, ə t ɹ ˈɪ b j ʊ t ɪ d
ATTRIBUTES(1), ˈæ t ɹ ɪ b j ˌuː t s
ATTRIBUTES(2), ə t ɹ ˈɪ b j ˌuː t s
AUBERGINE, ˈəʊ b ə dʒ ˌiː n
AUBURN, ˈɔː b ə n
AUCKLAND, ˈɔː k l ə n d
AUCTION, ˈɔː k ʃ ə n
AUCTIONS, ˈɔː k ʃ ə n z
AUDI, ˈaʊ d i
AUDIENCE, ˈɔː d ɪə n s
AUDIENCES, ˈɔː d ɪə n s ɪ z
AUDIO, ˈɔː d ɪ ˌəʊ
AUDIT, ˈɔː d ɪ t
AUDITION, ɔː d ˈɪ ʃ ə n
AUDITOR, ˈɔː d ɪ t ə
AUDITORIUM, ˈɔː d ɪ t ˈɔː ɹ ɪə m
AUDITORS, ˈɔː d ɪ t ə z
AUDREY, ˈɔː d ɹ i
AUGUST, ˈɔː g ə s t
AUNT, ˈɑː n t
AUNTIE, ˈɑː n t i
AUNTY, ˈɑː n t i
AURA, ˈɔː ɹ ə
AURORA, ɔː ɹ ˈɔː ɹ ə
AUSTERE, ɒ s t ˈɪə
AUSTIN(1), ˈɒ s t ɪ n
AUSTIN(2), ˈɔː s t ɪ n
AUSTRALIA, ɒ s t ɹ ˈeɪ l ɪə
AUSTRALIAN, ɒ s t ɹ ˈeɪ l ɪə n
AUSTRIA, ˈɒ s t ɹ ɪə
AUTHENTIC, ɔː θ ˈɛ n t ɪ k
AUTHENTICATION, ɔː θ ˌɛ n t ɪ k ˈeɪ ʃ ə n
AUTHOR, ˈɔː θ ə
AUTHORITIES, ɔː θ ˈɒ ɹ ɪ t i z
AUTHORITY, ɔː θ ˈɒ ɹ ɪ t i
AUTHORIZATION, ˌɔː θ ə ɹ aɪ z ˈeɪ ʃ ə n
AUTHORIZED, ˈɔː θ ə ɹ ˌaɪ z d
AUTHORS, ˈɔː θ ə z
AUTISM, ˈɔː t ɪ z ə m
AUTO, ˈɔː t əʊ
AUTOMATED, ˈɔː t ə m ˌeɪ t ɪ d
AUTOMATIC, ˌɔː t ə m ˈæ t ɪ k
AUTOMATICALLY, ˌɔː t ə m ˈæ t ɪ k l i
AUTOMATION, ɔː t ə m ˈeɪ ʃ ə n
AUTOMOBILE, ˌɔː t ə m ə b ˈiː l
AUTOMOBILES, ˈɔː t ə m əʊ b ˌiː l z
AUTOMOTIVE, ˌɔː t ə m ˈəʊ t ɪ v
AUTONOMOUS, ɔː t ˈɒ n ə m ə s
AUTONOMY, ɔː t ˈɒ n ə m i
AUTOS, ˈɔː t əʊ z
AUTUMN, ˈɔː t ə m
AUXILIARY(1), ɔː g z ˈɪ l j ə ɹ i
AUXILIARY(2), ɔː g z ˈɪ l ə ɹ i
AVAIL, ə v ˈeɪ l
AVAILABILITY, ə v ˌeɪ l ə b ˈɪ l ɪ t i
AVAILABLE, ə v ˈeɪ l ə b ə l
AVATAR, ˈæ v ə t ɑː
AVENUE, ˈæ v ɪ n j ˌuː
AVERAGE(1), ˈæ v ɹ ɪ dʒ
AVERAGE(2), ˈæ v ə ɹ ɪ dʒ
AVERHAM, ˈɛə ɹ ə m
AVERT, ə v ˈɜː t
AVIATION, ˌeɪ v ɪ ˈeɪ ʃ ə n
AVID, ˈæ v ɪ d
AVOCADO, ˌæ v ə k ˈɑː d əʊ
AVOCADOS, ˌæ v ə k ˈɑː d əʊ z
AVOID, ə v ˈɔɪ d
AVOIDED, ə v ˈɔɪ d ɪ d
AVOIDING, ə v ˈɔɪ d ɪ ŋ
AVON, ˈeɪ v ə n
AW, ˈɔː
AWAIT, ə w ˈeɪ t
AWAITING, ə w ˈeɪ t ɪ ŋ
AWAITS, ə w ˈeɪ t s
AWAKE, ə w ˈeɪ k
AWAKEN, ə w ˈeɪ k ə n
AWAKENED, ə w ˈeɪ k ə n d
AWARD, ə w ˈɔː d
AWARDED, ə w ˈɔː d ɪ d
AWARDS, ə w ˈɔː d z
AWARE, ə w ˈɛə
AWARENESS, ə w ˈɛə n ɪ s
AWASH, ə w ˈɒ ʃ
AWAY, ə w ˈeɪ
AWE, ˈɔː
AWED, ˈɔː d
AWESOME, ˈɔː s ə m
AWFUL, ˈɔː f ə l
AWFULLY(1), ˈɔː f l i
AWFULLY(2), ˈɔː f ə l i
AWKWARD, ˈɔː k w ə d
AWNING, ˈɔː n ɪ ŋ
AWOKE, ə w ˈəʊ k
AWOKEN, ə w ˈəʊ k ə n
AWRY, ə ɹ ˈaɪ
AX, ˈæ k s
AXE, ˈæ k s
AXES, ˈæ k s iː z
AXIOM, ˈæ k s ɪə m
AXIS, ˈæ k s ɪ s
AXLE, ˈæ k s ə l
AYE(1), ˈaɪ
AYRSHIRE, ˈɛə ʃ ə
AYSCOUGHFEE, ˈæ s k ə f i
AZERBAIJAN, ˌæ z ə b aɪ dʒ ˈɑː n
BABE, b ˈeɪ b
BABES, b ˈeɪ b z
BABIES, b ˈeɪ b i z
BABY, b ˈeɪ b i
BABYSITTING, b ˈeɪ b ɪ s ˌɪ t ɪ ŋ
BACHELOR(1), b ˈæ tʃ ə l ə
BACHELOR(2), b ˈæ tʃ l ə
BACK, b ˈæ k
BACKED, b ˈæ k t
BACKGROUND, b ˈæ k g ɹ ˌaʊ n d
BACKGROUNDS, b ˈæ k g ɹ ˌaʊ n d z
BACKING, b ˈæ k ɪ ŋ
BACKS, b ˈæ k s
BACKSIDE, b ˈæ k s ˌaɪ d
BACKSLID, b ˈæ k s l ˌɪ d
BACKSLIDDEN, b ˈæ k s l ˌɪ d ə n
BACKSLIDE, b ˈæ k s l ˌaɪ d
